Feature,Importance
auth,2.7132127422796564
SPS_vui.video_format,1.9518756363259977
elst(2)_Rate,1.7344507528640385
tref(2),1.6412357056575098
elst_Rate,1.3251084672047877
stsz(2)_Sample Size,1.2974052328916403
SPS_vui.log2_max_mv_length_horizontal,1.29378457844406
ftyp_Compatible Brands,1.2293653848002948
sbgp,1.2129648153746504
sgpd,1.2129618655765508
stsz(3)_Sample Size,1.2028721106803475
SPS_frame_crop_right_offset,1.1784037732615378
elst(2)_Media Time,1.1768065516878592
tkhd_Width,1.1518619514999344
tkhd_Height,1.1518619514999344
soct,1.1369112579939675
SPS_vui.log2_max_mv_length_vertical,1.0802299095370778
meta,1.007740513726709
mvhd_Timescale,0.9712380036453389
SPS_vui.bitstream_restriction_flag,0.9535367159293401
ctts,0.8857739937584976
SPS_constraint_set0_flag,0.8813809098010882
SDLN,0.8806926772113295
dinf,0.870330448576888
stsz_Sample Size,0.8703304485768869
tkhd_Track ID,0.8703304485768869
elst_Media Time,0.8649510031021074
sgpd(3),0.8093543186685853
smrd,0.8089722677845399
SPS_pic_width_in_mbs_minus1,0.7634506035781609
tref,0.7438588618882667
ftyp_Minor Version,0.7384396457937071
vhdr,0.6986008476966051
SPS_log2_max_frame_num_minus4,0.6966036580690877
SPS_vui.video_signal_type_present_flag,0.6650966398296208
stco(5),0.6600321685681105
SPS_vui.max_bytes_per_pic_denom,0.6524095366006921
SPS_vui.max_bits_per_mb_denom,0.6523331013821722
tkhd(2)_Track ID,0.6361198919385719
dinf(2),0.636119891938571
smhd,0.6361198919385702
stsz(5)_Sample Size,0.6260151342143611
SPS_level_idc,0.5899718427253073
SPS_vui.vcl_hrd_parameters_present_flag,0.5862113925789908
SPS_vui.overscan_info_present_flag,0.5862113925789908
SPS_vui.pic_struct_present_flag,0.5833754944435344
SPS_vui.nal_hrd_parameters_present_flag,0.5833754944435321
SPS_vui.aspect_ratio_info_present_flag,0.5787992895018009
SPS_vui.chroma_loc_info_present_flag,0.5777817169396413
sbgp(2),0.5775185398160396
stss,0.5696991690911131
SPS_vui.timing_info_present_flag,0.5674652867065246
stco(2),0.5424079885850525
sequence,0.5406885001418934
stsz(4)_Sample Size,0.5278683540919024
SPS_frame_crop_left_offset,0.5189468555604302
SPS_frame_crop_top_offset,0.5189468555604302
