Feature,Importance
auth,2.7184262331570785
SPS_vui.video_format,1.9483422156486332
elst(2)_Rate,1.7266676498284168
tref(2),1.6312920428795896
elst_Rate,1.324823533776473
SPS_vui.log2_max_mv_length_horizontal,1.3237461705904132
stsz(2)_Sample Size,1.2845437633763939
sbgp,1.235160165100329
sgpd,1.2351572955829977
ftyp_Compatible Brands,1.2240273118501128
stsz(3)_Sample Size,1.1793718036563219
elst(2)_Media Time,1.1740239917023343
SPS_frame_crop_right_offset,1.1730254499140051
tkhd_Width,1.1542929872213263
tkhd_Height,1.1542929872213263
soct,1.1414393634079132
SPS_vui.log2_max_mv_length_vertical,1.1081740856871447
meta,1.0277528357901378
SPS_vui.bitstream_restriction_flag,0.9654312891170919
mvhd_Timescale,0.9592848680522942
SPS_constraint_set0_flag,0.9041961479809486
ctts,0.8859095087878776
elst_Media Time,0.8624958800675079
SDLN,0.8620677917476463
tkhd_Track ID,0.8495814277445406
stsz_Sample Size,0.8495814277445406
dinf,0.84958142774454
sgpd(3),0.792037083598075
smrd,0.7911739536620387
SPS_pic_width_in_mbs_minus1,0.7668091585686051
tref,0.7560864838643138
ftyp_Minor Version,0.7334976107044834
SPS_log2_max_frame_num_minus4,0.7070338142304621
SPS_vui.video_signal_type_present_flag,0.7051090438015658
vhdr,0.7047016321618732
stco(5),0.6596944677888681
SPS_vui.max_bytes_per_pic_denom,0.6493660297515881
SPS_vui.max_bits_per_mb_denom,0.6492941692490185
stsz(5)_Sample Size,0.6324862991391461
smhd,0.6278301542354299
dinf(2),0.6278301542354292
tkhd(2)_Track ID,0.627830154235429
SPS_level_idc,0.6064931664029086
SPS_vui.vcl_hrd_parameters_present_flag,0.5948399742750959
SPS_vui.overscan_info_present_flag,0.5948399742750959
SPS_vui.pic_struct_present_flag,0.5914557699908245
SPS_vui.nal_hrd_parameters_present_flag,0.5914557699908236
SPS_vui.aspect_ratio_info_present_flag,0.5857787340893963
SPS_vui.chroma_loc_info_present_flag,0.583146775775212
sbgp(2),0.5774062984851417
SPS_vui.timing_info_present_flag,0.5729478509869398
stss,0.5570928838672761
stco(2),0.553769145376076
SPS_frame_crop_top_offset,0.5330224661803917
SPS_frame_crop_left_offset,0.5330224661803917
stsz(4)_Sample Size,0.5276660014542733
SPS_vui.num_reorder_frames,0.5268994059097534
SPS_frame_cropping_flag,0.5195766776273184
SPS_vui.max_dec_frame_buffering,0.5121757698415987
smme,0.5094339342440981
skip,0.5094339342440977
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.5083820484817376
sgpd(4),0.49525225929049493
csgm,0.4924142774909363
tkhd(2)_Height,0.49058411339134367
tkhd(2)_Width,0.49058411339134367
ftyp_Major Brand,0.45818752872340784
sdtp,0.45697106051803255
tapt,0.4516768083314232
cslg,0.44767360367349585
mdhd(2)_Timescale,0.43528536483202424
name(2),0.4315576184364573
SPS_profile_idc,0.4266075311408937
SPS_bit_depth_luma_minus8,0.42307715051979594
SPS_qpprime_y_zero_transform_bypass_flag,0.42307715051979594
SPS_bit_depth_chroma_minus8,0.42307715051979594
SPS_chroma_format_idc,0.42307715051979594
SPS_vui.video_full_range_flag,0.39745964822483904
csgm(2),0.39048642322939325
mdhd_Language Code,0.38660094875355516
mdhd_Timescale,0.3743473372779853
meta(2),0.3682442502758313
hdlr,0.36319804490269714
SPS_vui.transfer_characteristics,0.3311444611862708
hdlr(2),0.33077915148716863
sgpd(2),0.3147889589997948
type,0.29564951166470743
tkhd(2)_Modify Time,0.2940739144235011
mdhd(2)_Modify Time,0.2940739144235011
mdhd(2)_Create Time,0.289635252456643
tkhd(2)_Create Time,0.289635252456643
hdlr(4),0.2793820239142007
hdlr(3),0.27934334152502954
mdhd(4)_Create Time,0.26442108244636714
tkhd(4)_Create Time,0.26442108244636714
tkhd(4)_Width,0.26442108244636664
tkhd(4)_Height,0.26442108244636664
