Feature,Importance
stco,2368
stco(2),2275
sdtp,504
mvhd_Timescale,417
mdhd(2)_Timescale,401
mdhd_Timescale,360
GOP,327
elst_Media Time,319
elst(2)_Media Time,302
meta,293
stss,278
stco(5),242
ftyp_Major Brand,187
sequence,135
tref(2),128
ftyp_Minor Version,117
sgpd,116
auth,107
mdhd_Language Code,103
tref,98
ctts,95
stco(4),81
tkhd_Width,78
hdlr,76
cslg,74
free,74
mvhd_Next Track ID,66
mdhd(2)_Language Code,66
smta,64
sgpd(2),55
stsz(4)_Sample Size,36
sgpd(3),35
stco(3),30
elst(2)_Rate,30
SDLN,28
stsz(3)_Sample Size,23
tref(3),20
elst_Rate,19
stsz(5)_Sample Size,19
ftyp_Compatible Brands,19
stsz(2)_Sample Size,15
tkhd_Create Time,14
tkhd(5)_Track ID,11
csgm,10
tkhd(2)_Width,9
mvhd_Create Time,8
hdlr(3),8
elst(4)_Media Time,7
elst(3)_Media Time,6
hdlr(2),5
meta(2),4
tapt,3
tkhd(2)_Create Time,3
tkhd(4)_Track ID,3
tkhd_Track ID,3
smrd,2
hdlr(4),1
sbgp(2),1
tkhd(2)_Track ID,1
tkhd(3)_Track ID,1
mvhd_Modify Time,1
tkhd_Modify Time,1
hdlr(9),0
gmhd(3),0
elst(5)_Rate,0
mdhd(5)_Language Code,0
tkhd(5)_Height,0
stsc(4)_Entry Count,0
stsz(4)_Sample Count,0
tkhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Duration,0
tkhd(5)_Width,0
elst(5)_Entry Count,0
mdhd(5)_Duration,0
elst(5)_Entries,0
elst(5)_Media Time,0
dinf(5),0
mdhd(5)_Create Time,0
mdhd(5)_Modify Time,0
mdhd(5)_Timescale,0
hdlr(10),0
csgm(2),0
stsd(5)_Entry Count,0
sbgp(3),0
soct,0
0,0
skip,0
smme,0
vhdr,0
elst(2)_'Duration,0
elst_'Duration,0
type,0
name(2),0
co64(2)_Entry Count,0
co64_Entry Count,0
free(2),0
tgas,0
sgpd(5),0
stts(5)_Entry Count,0
tagc(3),0
tagc(2),0
tagc,0
sdtp(2),0
stss(2),0
cslg(2),0
ctts(2),0
vmhd(2),0
tapt(2),0
sgpd(4),0
stsd(4)_Entry Count,0
stsz(5)_Sample Count,0
stsc(5)_Entry Count,0
stts(4)_Entry Count,0
tkhd(4)_Height,0
dinf(4),0
smhd,0
elst(2)_Entries,0
mvhd_Preferred Rate,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mvhd_Duration,0
mdhd(2)_Duration,0
dinf(2),0
tkhd(2)_Height,0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
stsz(2)_Sample Count,0
sbgp,0
wide,0
elst(2)_Entry Count,0
tkhd(2)_Duration,0
hdlr(8),0
vmhd,0
tkhd_Height,0
elst_Entry Count,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
tkhd(2)_Modify Time,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
mvhd_Preferred Volume,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
tkhd(3)_Duration,0
elst(4)_Rate,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd_Duration,0
elst(4)_Entry Count,0
elst(4)_Entries,0
mdhd(4)_Create Time,0
tkhd(3)_Width,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
hdlr(7),0
gmhd(2),0
tkhd(4)_Create Time,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
mdhd(3)_Timescale,0
mdhd(3)_Modify Time,0
mdhd(3)_Create Time,0
elst(3)_Rate,0
elst(3)_Entries,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
stsz(3)_Sample Count,0
